Numero_dossier_ID,temps_total_sec,temps_total_min
5465153,6369.0,106.15
5465283,88.0,1.4666666666666666
5465338,1947.0,32.45
5465352,3795.0,63.25
5465369,273.0,4.55
5465421,428.0,7.133333333333334
5465481,118.0,1.9666666666666666
5465484,598.0,9.966666666666667
5465613,3091.0,51.516666666666666
5465628,108.0,1.8
5465707,373.0,6.216666666666667
5465793,1854.0,30.9
5465807,283.0,4.716666666666667
5465818,79.0,1.3166666666666667
5465836,348.0,5.8
5465858,2931.0,48.85
5465921,3172.0,52.86666666666667
5465922,477.0,7.95
5465973,1087.0,18.116666666666667
5466004,4313.0,71.88333333333334
5466053,1475.0,24.583333333333332
5466085,462.0,7.7
5466188,436.0,7.266666666666667
5466212,6276.0,104.6
5466238,921.0,15.35
5466255,545.0,9.083333333333334
5466320,1373.0,22.883333333333333
5466334,925.0,15.416666666666666
5466342,445.0,7.416666666666667
5466358,1212.0,20.2
5466388,189.0,3.15
5466421,401.0,6.683333333333334
5466544,303.0,5.05
5466581,587.0,9.783333333333333
5466596,200.0,3.3333333333333335
5466601,209.0,3.4833333333333334
5466603,6478.0,107.96666666666667
5466636,313.0,5.216666666666667
5466660,1219.0,20.316666666666666
5466694,206.0,3.433333333333333
5466726,132.0,2.2
5466812,269.0,4.483333333333333
5466817,2223.0,37.05
5466903,455.0,7.583333333333333
5466923,63.0,1.05
5466938,925.0,15.416666666666666
5466943,1361.0,22.683333333333334
5466955,3169.0,52.81666666666667
5466989,439.0,7.316666666666666
5467011,1731.0,28.85
5467079,668.0,11.133333333333333
5467092,708.0,11.8
5467164,143.0,2.3833333333333333
5467249,673.0,11.216666666666667
5467312,718.0,11.966666666666667
5467322,1174.0,19.566666666666666
5467331,1044.0,17.4
5467339,492.0,8.2
5467358,3477.0,57.95
5467424,4887.0,81.45
5467425,287.0,4.783333333333333
5467446,313.0,5.216666666666667
5467452,1540.0,25.666666666666668
5467454,2835.0,47.25
5467494,193.0,3.216666666666667
5467504,570.0,9.5
5467523,6.0,0.1
5467525,3124.0,52.06666666666667
5467546,2308.0,38.46666666666667
5467572,148.0,2.466666666666667
5467578,373.0,6.216666666666667
5467585,216.0,3.6
5467594,486.0,8.1
5467611,1631.0,27.183333333333334
5467615,481.0,8.016666666666667
5467660,714.0,11.9
5467680,217.0,3.6166666666666667
5467683,156.0,2.6
5467752,562.0,9.366666666666667
5467846,3563.0,59.38333333333333
5467852,998.0,16.633333333333333
5467861,304.0,5.066666666666666
5468025,757.0,12.616666666666667
5468038,2415.0,40.25
5468113,985.0,16.416666666666668
5468126,8359.0,139.31666666666666
5468134,106.0,1.7666666666666666
5468153,378.0,6.3
5468157,2324.0,38.733333333333334
5468172,253.0,4.216666666666667
5468247,439.0,7.316666666666666
5468248,579.0,9.65
5468250,300.0,5.0
5468256,393.0,6.55
5468258,1934.0,32.233333333333334
5468308,248.0,4.133333333333334
5468350,892.0,14.866666666666667
5468354,815.0,13.583333333333334
5468373,3929.0,65.48333333333333
5468376,814.0,13.566666666666666
5468400,338.0,5.633333333333334
5468490,301.0,5.016666666666667
5468533,95.0,1.5833333333333333
5468613,210.0,3.5
5468619,3312.0,55.2
5468625,6746.0,112.43333333333334
5468689,78.0,1.3
